2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-02 15:55:50,849 | recv | /adm/obj/101/xyz | [-0.017109185457229614, 0.1387195736169815, 0.0]
2026-04-02 15:55:50,860 | send | /adm/obj/1/xyz | [0.4726945459842682, 0.39391717314720154, 0.23597408831119537]
2026-04-02 15:55:50,870 | recv | /adm/obj/1/xyz | [0.4726945459842682, 0.39391717314720154, 0.23597408831119537]
2026-04-02 15:55:51,786 | recv | /reward | [0.774922251701355]
2026-04-02 15:55:51,787 | recv | /adm/obj/101/xyz | [0.09334821999073029, 0.19389481842517853, 0.0]
2026-04-02 15:55:51,798 | send | /adm/obj/1/xyz | [0.06971558183431625, -0.2914801239967346, -1.0]
2026-04-02 15:55:51,807 | recv | /adm/obj/1/xyz | [0.06971558183431625, -0.2914801239967346, -1.0]
2026-04-02 15:55:52,911 | recv | /reward | [0.570088267326355]
2026-04-02 15:55:52,913 | recv | /adm/obj/101/xyz | [0.3330172598361969, 0.11244075000286102, 0.0]
2026-04-02 15:55:52,923 | send | /adm/obj/1/xyz | [0.374764621257782, -0.7247425317764282, -0.16148510575294495]
2026-04-02 15:55:52,933 | recv | /adm/obj/1/xyz | [0.374764621257782, -0.7247425317764282, -0.16148510575294495]
2026-04-02 15:55:54,141 | recv | /reward | [-0.09080041944980621]
2026-04-02 15:55:54,143 | recv | /adm/obj/101/xyz | [0.4876437187194824, 0.4279617965221405, 0.0]
2026-04-02 15:55:54,153 | send | /adm/obj/1/xyz | [-1.0, 0.5887200832366943, -1.0]
2026-04-02 15:55:54,161 | recv | /adm/obj/1/xyz | [-1.0, 0.5887200832366943, -1.0]
2026-04-02 15:55:57,002 | recv | /reward | [0.2527054250240326]
2026-04-02 15:55:57,004 | recv | /adm/obj/101/xyz | [0.4769003093242645, 0.44402265548706055, 0.0]
2026-04-02 15:55:57,014 | send | /adm/obj/1/xyz | [0.24893152713775635, 0.887822151184082, -0.9378374814987183]
2026-04-02 15:55:57,022 | recv | /adm/obj/1/xyz | [0.24893152713775635, 0.887822151184082, -0.9378374814987183]
2026-04-02 15:55:58,006 | recv | /reward | [0.874287486076355]
2026-04-02 15:55:58,007 | recv | /adm/obj/101/xyz | [0.2607259154319763, 0.4373898506164551, 0.0]
2026-04-02 15:55:58,018 | send | /adm/obj/1/xyz | [-0.14069123566150665, -0.6510292291641235, 0.8476029634475708]
2026-04-02 15:55:58,028 | recv | /adm/obj/1/xyz | [-0.14069123566150665, -0.6510292291641235, 0.8476029634475708]
2026-04-02 15:55:59,260 | recv | /reward | [-0.1484176069498062]
2026-04-02 15:55:59,261 | recv | /adm/obj/101/xyz | [0.43658578395843506, 0.4833452105522156, 0.0]
2026-04-02 15:55:59,276 | send | /adm/obj/1/xyz | [-0.3496673107147217, 0.23756985366344452, 0.03787975013256073]
2026-04-02 15:55:59,286 | recv | /adm/obj/1/xyz | [-0.3496673107147217, 0.23756985366344452, 0.03787975013256073]
2026-04-02 15:56:00,590 | recv | /reward | [0.08351598680019379]
2026-04-02 15:56:00,591 | recv | /adm/obj/101/xyz | [0.44479966163635254, 0.8091734647750854, 0.0]
2026-04-02 15:56:00,606 | send | /adm/obj/1/xyz | [-1.0, -1.0, -0.5211551189422607]
2026-04-02 15:56:00,616 | recv | /adm/obj/1/xyz | [-1.0, -1.0, -0.5211551189422607]
2026-04-02 15:56:01,616 | recv | /reward | [-0.4147750437259674]
2026-04-02 15:56:01,617 | recv | /adm/obj/101/xyz | [0.8403107523918152, 0.5749815702438354, 0.0]
2026-04-02 15:56:01,632 | send | /adm/obj/1/xyz | [0.5498057007789612, 1.0, 1.0]
2026-04-02 15:56:01,641 | recv | /adm/obj/1/xyz | [0.5498057007789612, 1.0, 1.0]
2026-04-02 15:56:04,991 | recv | /reward | [-0.701884388923645]
2026-04-02 15:56:04,993 | recv | /adm/obj/101/xyz | [0.5030496716499329, 0.47498100996017456, 0.0]
2026-04-02 15:56:05,002 | send | /adm/obj/1/xyz | [-0.15089508891105652, -1.0, 1.0]
2026-04-02 15:56:05,011 | recv | /adm/obj/1/xyz | [-0.15089508891105652, -1.0, 1.0]
2026-04-02 15:56:05,992 | recv | /reward | [-0.619853138923645]
2026-04-02 15:56:05,993 | recv | /adm/obj/101/xyz | [0.5561636090278625, 0.4917580187320709, 0.0]
2026-04-02 15:56:06,010 | send | /adm/obj/1/xyz | [-0.9463393092155457, -0.8168588876724243, -0.5028690099716187]
2026-04-02 15:56:06,019 | recv | /adm/obj/1/xyz | [-0.9463393092155457, -0.8168588876724243, -0.5028690099716187]
2026-04-02 15:56:08,071 | recv | /reward | [-0.3110152781009674]
2026-04-02 15:56:08,073 | recv | /adm/obj/101/xyz | [0.47104257345199585, 1.0, 0.0]
2026-04-02 15:56:08,087 | send | /adm/obj/1/xyz | [-0.5019856095314026, 0.9507517218589783, 0.30310794711112976]
2026-04-02 15:56:08,097 | recv | /adm/obj/1/xyz | [-0.5019856095314026, 0.9507517218589783, 0.30310794711112976]
2026-04-02 15:56:09,200 | recv | /reward | [0.023701529949903488]
2026-04-02 15:56:09,201 | recv | /adm/obj/101/xyz | [0.44806107878685, 0.8509615063667297, 0.0]
2026-04-02 15:56:09,211 | send | /adm/obj/1/xyz | [1.0, -0.7763813734054565, -1.0]
2026-04-02 15:56:09,220 | recv | /adm/obj/1/xyz | [1.0, -0.7763813734054565, -1.0]
2026-04-02 15:56:10,832 | recv | /reward | [-0.2057906538248062]
2026-04-02 15:56:10,833 | recv | /adm/obj/101/xyz | [0.7819068431854248, 0.4683273732662201, 0.0]
2026-04-02 15:56:10,843 | send | /adm/obj/1/xyz | [0.2324526160955429, -1.0, -0.2328345775604248]
2026-04-02 15:56:10,852 | recv | /adm/obj/1/xyz | [0.2324526160955429, -1.0, -0.2328345775604248]
2026-04-02 15:56:12,264 | recv | /reward | [0.04005895182490349]
2026-04-02 15:56:12,265 | recv | /adm/obj/101/xyz | [0.8944451808929443, 0.6598517894744873, 0.0]
2026-04-02 15:56:12,280 | send | /adm/obj/1/xyz | [-0.33610430359840393, -1.0, 1.0]
2026-04-02 15:56:12,288 | recv | /adm/obj/1/xyz | [-0.33610430359840393, -1.0, 1.0]
2026-04-02 15:56:13,326 | recv | /reward | [-0.4006148874759674]
2026-04-02 15:56:13,327 | recv | /adm/obj/101/xyz | [1.0, 0.410687655210495, 0.0]
2026-04-02 15:56:13,338 | send | /adm/obj/1/xyz | [-0.5681966543197632, 1.0, -0.23810447752475739]
2026-04-02 15:56:13,349 | recv | /adm/obj/1/xyz | [-0.5681966543197632, 1.0, -0.23810447752475739]
2026-04-02 15:56:14,311 | recv | /reward | [0.617451548576355]
2026-04-02 15:56:14,314 | recv | /adm/obj/101/xyz | [0.894920825958252, 0.31360626220703125, 0.0]
2026-04-02 15:56:14,327 | send | /adm/obj/1/xyz | [0.1566493809223175, 0.4482126235961914, 1.0]
